Mês,Brasil
01-12-2013,131.46064
01-01-2014,100.38972
01-02-2014,91.98744
01-03-2014,96.71372
01-04-2014,96.36363
01-05-2014,101.35248
01-06-2014,93.65039
01-07-2014,97.23886
01-08-2014,100.21467
01-09-2014,96.18858
01-10-2014,103.36553
01-11-2014,104.67838
01-12-2014,131.81074
01-01-2015,100.91486
01-02-2015,88.92411
01-03-2015,96.97629
01-04-2015,93.21277
01-05-2015,96.80125
01-06-2015,91.1122
01-07-2015,93.47534
01-08-2015,93.3003
01-09-2015,90.14944
01-10-2015,97.50144
01-11-2015,96.53867
01-12-2015,122.27065
01-01-2016,90.23697
01-02-2016,85.16059
01-03-2016,91.4623
01-04-2016,86.82354
01-05-2016,88.1364
01-06-2016,86.73602
01-07-2016,88.22392
01-08-2016,88.1364
01-09-2016,84.98554
01-10-2016,89.6243
01-11-2016,92.86268
01-12-2016,116.31904
01-01-2017,89.14016
01-02-2017,82.01325
01-03-2017,88.51857
01-04-2017,88.30573
01-05-2017,90.42847
01-06-2017,89.23752
01-07-2017,90.94292
01-08-2017,91.27847
01-09-2017,90.28732
01-10-2017,91.94171
01-11-2017,98.43241
01-12-2017,120.9274
01-01-2018,91.95579
01-02-2018,83.25285
01-03-2018,95.63502
01-04-2018,88.94832
01-05-2018,92.90176
01-06-2018,90.65535
01-07-2018,90.06749
01-08-2018,94.99743
01-09-2018,90.44022
01-10-2018,93.73739
01-11-2018,102.87858
01-12-2018,121.74368
01-01-2019,93.68782
01-02-2019,86.56867
01-03-2019,91.38843
01-04-2019,90.53404
01-05-2019,93.82238
01-06-2019,90.76676
01-07-2019,93.90554
01-08-2019,96.31029
01-09-2019,92.44497
01-10-2019,97.72331
01-11-2019,106.07645
01-12-2019,124.92782
01-01-2020,95.01804
01-02-2020,90.61413
01-03-2020,90.34239
01-04-2020,75.01668
01-05-2020,86.8962
01-06-2020,91.20908
01-07-2020,99.06405
01-08-2020,102.25301
01-09-2020,99.17828
01-10-2020,105.8898
01-11-2020,109.85013
01-12-2020,126.51201
01-01-2021,94.63845
01-02-2021,87.09135
01-03-2021,92.35696
01-04-2021,92.81474
01-05-2021,100.74772
01-06-2021,96.99321
01-07-2021,104.75813
01-08-2021,98.09983
01-09-2021,94.04461
01-10-2021,98.65443
01-11-2021,105.23216
01-12-2021,122.78603
01-01-2022,93.22962
01-02-2022,88.20452
01-03-2022,96.92398
01-04-2022,96.98576
01-05-2022,100.59259
01-06-2022,96.86423
01-07-2022,99.1827
01-08-2022,99.6294
01-09-2022,97.0433
01-10-2022,101.35957
01-11-2022,106.66694
01-12-2022,123.31739
01-01-2023,95.76611
01-02-2023,89.14835
01-03-2023,100.14438
01-04-2023,97.44855
01-05-2023,99.50874
01-06-2023,98.21743
01-07-2023,101.57403
